wav	source_processed	source_raw	target_raw
guarani000394.wav	hi'a ha omongaru opavavetépe	"hi'a ha omongaru opavavetépe"	Tiene fruta y da de comer a todos.
guarani000395.wav	ha peteĩ katu ome'ẽ jepe chupe peteĩ kurundu'imi	"ha peteĩ katu ome'ẽ jepe chupe peteĩ kurundu'imi"	Y uno le dio un amuleto.
guarani000396.wav	maymaite ovy ákuri	Maymaite ovyʼákuri.	Todos se alegraron.
guarani000397.wav	ipirapirehetáva ha imboriahúva	ipirapirehetáva ha imboriahúva	El rico y el pobre.
guarani000398.wav	ága katu upépe ndopái upe mba'e	"Ág̃a katu upépe ndopái upe mba'e."	Ahora sique ahí no termina esa cuestión.
guarani000399.wav	nomohu'ãi iñemoarandu	"Nomohu'ãi iñemoarandu."	No terminó su educación.
guarani000400.wav	ndaipóringo ndehegui herakuãporãvéva	Ndaipóringo ndehegui herakuãporãvéva	No hay otro más renombrado que vos.
guarani000401.wav	mba'épa ojejapo ñemuháme	"Mba'épa ojejapo ñemuháme."	¿Qué haces en el mercado?
guarani000402.wav	jahána oñondive ha nde reipepirũ iñirũme	Jahána oñondive ha nde reipepirũ iñirũme.	Vámonos juntos y vos invitale a su amigo.
guarani000403.wav	ha ekuéra ndaha éi mba eve	Haʼekuéra ndahaʼéi mbaʼeve.	Ellos no son nada.
guarani000404.wav	villarrica ararecha	Villarrica ararecha.	Día de ver a Villarica.
guarani000405.wav	dengue ndejapyhýrõ pya'emíke tereho pohãnohára rendápe	"Dengue ndejapyhýrõ pya'emíke tereho pohãnohára rendápe."	Si  te agarra el dengue rápido debes ir al hospital.
guarani000406.wav	moõpa opyta	Moõpa opyta.	¿Dónde queda?
guarani000407.wav	eñangarekomi cherehe nde pokatu tuichaitévape	Eñangarekomi cherehe nde pokatu tuichaitévape.	Cuídame con tu gran poder.
guarani000408.wav	maria ohómiva'erá oñemombo hupápe ha hasẽ soro	"Maria ohómiva'erá oñemombo hupápe ha hasẽ soro."	María siempre se va a tirarse en su cama y llora mucho.
guarani000409.wav	chipa manduvi ha chipa mbokaja	Chipa manduvi ha chipa mbokaja	Chipa de maní y chipa de coco.
guarani000410.wav	eho eñami ñande vaka	Eho eñami ñande vaka.	Ve a ordeñar a nuestra vaca.
guarani000411.wav	guyra opaichagua	Guyra opaichagua.	Variedad de aves.
guarani000412.wav	chénte ha'e ndavy'amo'ãitaha so'o'ỹre are	"Chénte ha'e ndavy'amo'ãitaha so'o'ỹre are."	Yo digo que no me alegraría sin carne en muchos días.
guarani000413.wav	ha mba'éiko ajapokuaa	"Ha mba'éiko ajapokuaa."	¿Y qué sabe hacer?
guarani000414.wav	eikove ha eheja ambuépe toikove	Eikove ha eheja ambuépe toikove.	Vive y deja vivir.
guarani000415.wav	emboscada araitépe	Emboscada araitépe.	Trampa en pleno día.
guarani000416.wav	jepérõ upéicha mba'evéma ndaikatúi ojapovévo hese	"Jepérõ upéicha mba'evéma ndaikatúi ojapovévo hese."	Con todo eso ya no le puede hacer nada.
guarani000417.wav	leõ ha ju'i oike hikuái peteĩ ñemuháme	"Leõ ha ju'i oike hikuái peteĩ ñemuháme."	El león y la rana entraron en una tienda.
guarani000418.wav	eñomongetami ne remimbo'e ndive	"Eñomongetami ne remimbo'e ndive."	Conversá con tus estudiantes.
guarani000419.wav	norohenduvéi mba'eve	"Norohenduvéi mba'eve."	No escuchamos nada.
guarani000420.wav	upéi ae yvy oñepyrũjeytaha ome'ẽ opaichagua temitỹ	"upéi ae yvy oñepyrũjeytaha ome'ẽ opaichagua temitỹ"	Después recién la tierra va a dar su fruto.
guarani000421.wav	ojerurékuri oñeguenohẽ hagua ita ombotýva jeikeha	ojerurékuri oñeguenohẽ hag̃ua ita ombotýva jeikeha	Pidió que se saque la piedra que tapaba el camino.
guarani000422.wav	clari róga	Clari róga.	La casa de Clari.
guarani000423.wav	hekove ru'ã	"Hekove ru'ã."	Su vida llegó a su fin.
guarani000424.wav	ikatúpa asẽ sapy'aite	"Ikatúpa asẽ sapy'aite."	¿Puedo salir un ratito?
guarani000425.wav	che vaka ipirueterei	Che vaka ipirueterei.	Mi vaca es muy flaca.
guarani000426.wav	heta pirapire ndaje oñeme ẽkuri chupe	Heta pirapire ndaje oñemeʼẽkuri chupe.	Dice que se le dio mucha plata.
guarani000427.wav	peteĩ jasy ohasa rire	Peteĩ jasy ohasa rire.	Después de haber pasado un mes.
guarani000428.wav	ápe aime roipytyvõ hagua	ápe aime roipytyvõ hag̃ua	Aquí estaré para ayudarte.
guarani000429.wav	mba'éichapa héra nde ryke'y	"Mba'éichapa héra nde ryke'y."	¿Cómo se llama tu hermano menor?
guarani000430.wav	araka'épiko oñemoarandúta	"Araka'épiko oñemoarandúta."	¿Cuándo va a ser inteligente?
guarani000431.wav	ahupytypotáma chupe	Ahupytypotáma chupe.	Ya casi lo alcanzo.
guarani000432.wav	michĩ ha'úkuri	"Michĩ ha'úkuri."	Comí poco.
guarani000433.wav	hu'y apýre omoĩ hikuái guyra raguemimi	"Hu'y apýre omoĩ hikuái guyra raguemimi."	Por la pulta de la flecha ellos le pusieron plumas de pájaros.
guarani000434.wav	péicha oñepyrũkuri iñemoarandu puraheikuaápe	Péicha oñepyrũkuri iñemoarandu puraheikuaápe.	Así  comenzó a aprender música.
guarani000435.wav	yva he'ẽ	"Yva he'ẽ."	Fruta dulce.
guarani000436.wav	ha vokóike guaiguimi ohechaukákuri chupe peteĩ ta'ãnga	"ha vokóike g̃uaig̃uimi ohechaukákuri chupe peteĩ ta'ãnga"	Ahí nomas la ancianita le mostró una foto.
guarani000437.wav	roñe'ẽmbareihína che rogayguakuéra ndive	"Roñe'ẽmbareihína che rogayguakuéra ndive."	Estamos hablando todo de balde con la familia.
guarani000438.wav	eho ejerure toñemoĩ peteĩ purahéi porã	Eho ejerure toñemoĩ peteĩ purahéi porã.	Vete a pedirle que ponga una buena música.
guarani000439.wav	pyhare ho'ysã ro'yeterei	"Pyhare, ho'ysã, ro'yeterei."	En la noche, refresca, hace mucho frío.
guarani000440.wav	kuruvaíre ñañe'ẽñaína	"Kuruvaíre ñañe'ẽñaína."	Estamos hablando de grano muy feo.
guarani000441.wav	sapy'apy'a ojejuhu upépe pláta yvyguy	"Sapy'apy'a ojejuhu upépe Pláta Yvyguy."	De vez en cuando.
guarani000442.wav	ani rekaguai ndejehe	Ani rekaguai ndejehe.	No hables de ti mismo.
guarani000443.wav	upévare avei ndaipóri kuimba'e ojesareko'ỹva hese	"upévare avei ndaipóri kuimba'e ojesareko'ỹva hese."	Por eso no hay hombre que no se fije en ella.
guarani000444.wav	ka'arupytũ oguahẽ jave	"Ka'arupytũ og̃uahẽ jave"	Cuando llega la noche.
guarani000445.wav	ambue hembiapokue	Ambue hembiapokue.	Su trabajo anterior.
guarani000446.wav	upe árape ojehova'erã paíno ha maína rógape	"Upe árape ojehova'erã paíno ha maína rógape"	Ese día debe irse a casa de su padríno y su madrína.
guarani000447.wav	ikane'õmarõ oheka peteĩ ogami opytu'u hagua	"Ikane'õmarõ oheka peteĩ ogami opytu'u hag̃ua."	El esforzado busca una casa para descansar.
guarani000448.wav	osẽkuri ohopa heseve brasil pe	osẽkuri ohopa heseve Brasil-pe.	Salieron y se fueron todos con él a Brasil.
guarani000449.wav	ỹramo eme'ẽkuaa chéve tembi'urã	"ỹramo eme'ẽkuaa chéve tembi'urã"	Como agua sabe darme comida.
guarani000450.wav	che aiko	Che aiko.	Yo vivo.
guarani000451.wav	pya'épeko oho hikuái ipiári	"Pya'épeko oho hikuái ipiári."	Muy rápido se fueron ellos.
guarani000452.wav	ha ojapo hikuái chupe guarã chipa kavure	Ha ojapo hikuái chupe g̃uarã chipa kavure.	Y ellos hicieron para él chipa de mandioca.
guarani000453.wav	avy'aite rohecháre	"Avy'aite rohecháre."	Me alegro mucho de verte.
guarani000454.wav	ha e ituicha	Ha’e ituicha.	Él es grande.
guarani000455.wav	sa'ivépe jajoavy	"Sa'ivépe jajoavy."	Muy poco podemos diferenciar.
guarani000456.wav	angirũ ñaña opyta ha'eño upépe	"Angirũ ñaña opyta ha'eño upépe"	El mal amigo se queda solo ahí
guarani000457.wav	roikévo ka'aguy'ípe ajovasa	"Roikévo ka'aguy'ípe ajovasa."	Cuando entramos en el montecito le hice la señal de la cruz.
guarani000458.wav	rejapóta rejaposéva ha reguerekóta reipotáva guive	Rejapóta rejaposéva ha reguerekóta reipotáva guive	Harás lo que quieras y tendrás después lo que desas.
guarani000459.wav	oporandu mitã'ikúerape mba'épa okaru hikuái	"Oporandu mitã'ikúerape mba'épa okaru hikuái."	Le preguntó a los niños que fue lo qué ellos comieron.
guarani000460.wav	osẽva ára haku jave	Osẽva ára haku jave.	Empieza el día y hace calor.
guarani000461.wav	jepémo oiko ñomongeta ko'ã mba'ére noñeguahẽi peteĩ ñe'ẽme	"Jepémo oiko ñomongeta ko'ã mba'ére, noñeg̃uahẽi peteĩ ñe'ẽme."	Aunque ha habido discusión sobre estos temas, no se ha llegado a un consenso.
guarani000462.wav	hogue hovykangy	Hogue hovykangy.	Pluma celeste.
guarani000463.wav	reikuaa'ỹre mba'éichapa ojehepyme'ẽta ndéve	"reikuaa'ỹre mba'éichapa ojehepyme'ẽta ndéve"	Sin saber el precio antes
guarani000464.wav	ha namyengoviái pe tesapeha	Ha namyengoviái pe tesapeha.	No voy a cambiar la luz.
guarani000465.wav	upémaramo ña maria omoneijeýkuri chupe	Upémaramo ña Maria omoneijeýkuri chupe.	Entonces, la señora María volvió a aprobarlo.
guarani000466.wav	mba éichapa héra nde sy	Mbaʼéichapa héra nde sy.	¿Cómo se llama tu madre?
guarani000467.wav	maymave ohenói chupe uruku	maymave ohenói chupe Uruku	Todos le llamaban Uruku
guarani000468.wav	ohecha mba'éichapa lovi ho'a ha omanoite vera	"Ohecha mba'éichapa Lovi ho'a ha omanoite vera."	Vió como Lovi cayó al suelo y murió al instante
guarani000469.wav	ha'eñoiténiko omongakuaákuri chupekuéra	"Ha'eñoiténiko omongakuaákuri chupekuéra"	Solita les crió
guarani000470.wav	upe mba e rejapokuaa péicha	Upe mbaʼe rejapokuaa péicha.	Eso debes hacer de esta manera.
guarani000471.wav	ohorãngue tasyópe oho kapiatã ruguápe	Ohorãngue Tasyópe oho Kapiatã ruguápe.	En lugar de ir al Hospital, fue al fondo de Capiata.
guarani000472.wav	oĩ oñesũva ekue	Oĩ oñesũvaʼekue.	Hay quienes se arrodillaron.
guarani000473.wav	upépe ojojuhu hikuái mokõi mitã'i ha peru'i	"Upépe ojojuhu hikuái mokõi mitã'i ha Peru'i."	Ahí fueron encontrados 2 criaturas y el niño Perú
guarani000474.wav	ho'u avei yvakuéra	"Ho'u avei yvakuéra."	Comió frutas también.
guarani000475.wav	he'i ijupe maria ohechávo upe mba'e guasuete	"he'i ijupe Maria ohechávo upe mba'e guasuete."	Se dijo María a si mista cuando vio aquello tan importante
guarani000476.wav	kapi'ipe yvy jeporu porã	"Kapi'ipe yvy jeporu porã."	Uso correcto de los pastizales
guarani000477.wav	ipirapire heta jepiveguáicha ha kakuaa omba'apo	"Ipirapire heta jepiveguáicha ha kakuaa omba'apo."	Como siempre, sigue teniendo dinero como siempre y lo  hace trabajar bien.
guarani000478.wav	kuimba'e aranduete ha mba'ejegua apohára ijojaha'ỹva	"kuimba'e aranduete ha mba'ejegua apohára ijojaha'ỹva"	Un hombre de gran sabiduría y bondad que no tiene comparación
guarani000479.wav	oipytyvõ pytuhẽ	Oipytyvõ pytuhẽ.	Necesita ayuda para respirar
guarani000480.wav	nde ra'ýpiko noĩporãmbáimba'e	"Nde ra'ýpiko noĩporãmbáimba'e"	¿Acaso tu hijo no está bien de la cabeza?
guarani000481.wav	ohasa umi ára ha oguahẽ perurima apysápe marandu pyahu	Ohasa umi ára ha og̃uahẽ Perurima apysápe marandu pyahu.	Pasaron los días y noticias nuevas llegarona  oidos de Perurima
guarani000482.wav	urdu ñe'ẽ reko	"Urdu ñe'ẽ reko."	Cultura del idioma urdu.
guarani000483.wav	haimete mbo ehára ijaty upe amandajépe	Haimete mboʼehára ijaty upe amandajépe.	Casi todos los profesores asistieron a la reunión.
guarani000484.wav	ohechakuaa rehe oñembohoryseha hese	Ohechakuaa rehe oñembohoryseha hese.	Al darse cuenta que querían burlarse de él.
guarani000485.wav	upe asaje pukukue javeve ndaje karai octubre oikundaha oparupiete	Upe asaje pukukue javeve ndaje Karai Octubre oikundaha oparupiete	Se dice que a durante el medio día el Karai Octubre ronda por todos lados
guarani000486.wav	omopotĩsékuri kuehe	Omopotĩsékuri kuehe.	Quería limpiarlo ayer.
guarani000487.wav	ani rekyhyje chugui	Ani rekyhyje chugui.	No le tengas miedo.
guarani000488.wav	akeséma	Akeséma.	Ya quiero dormir.
guarani000489.wav	jajoecha peve	Jajoecha peve.	Hasta que nos veamos.
guarani000490.wav	araka'eve ndahamo'ãi nendive	"araka'eve ndahamo'ãi nendive"	Nunca iría contigo
guarani000491.wav	ndéve ndorojukamo'ãi	"Ndéve ndorojukamo'ãi"	A vos no te mataremos
guarani000492.wav	upéikatu oñe'ẽkuri mbo'ehára	"Upéikatu oñe'ẽkuri mbo'ehára."	Después de eso habló la profesora
guarani000493.wav	emaña ndejehe ha embohysýi umi mba'e nemombaretéva	"Emaña ndejehe ha embohysýi umi mba'e nemombaretéva"	Mírate a ti mismo y haz una lista de las cosas que te hacen fuerte
guarani000494.wav	añetehápe kóva ha'e che membykuña	"Añetehápe kóva ha'e che membykuña"	Ciértamente, ella es mi hija.
guarani000495.wav	hakate'ỹjekoraka'e hese chopombe	"Hakate'ỹjekoraka'e hese Chopombe."	Dicen que el pombero la protegía mucho.
guarani000496.wav	ojerejey mokõive karia'y	"Ojerejey mokõive karia'y."	Ambos chicos dieron media vuelta y se fueron.
guarani000497.wav	mavavéva noipohãnokuaái ichupe	Mavavéva noipohãnokuaái ichupe.	Nadie sabe como curarlo.
guarani000498.wav	pyhare ñasaindy porãme jeko karai ulo oguapyhína itapỹi renondépe	Pyhare ñasaindy porãme jeko karai Ulo oguapyhína itapỹi renondépe.	A la hermosa luz de la noche, el señor Ulo estaba sentado frente a su casa.
guarani000499.wav	ndaikatumo'ãvéima remyatyrõ	"Ndaikatumo'ãvéima remyatyrõ."	Ya no podrás arreglarlo
guarani000500.wav	ña carmen jeko oúkuri hasykatuetévoi	Ña Carmen jeko oúkuri hasykatuetévoi.	Doña Carmen había venido ya muy enferma.
guarani000501.wav	ápe che távape ho'ysã ha oky	"Ápe che távape ho'ysã ha oky."	Aquí en mi pueblo hace frío y llueve.
guarani000502.wav	oréniko noromomba'eguasúi ñepyrũrãme	"Oréniko noromomba'eguasúi ñepyrũrãme."	Al principio, nosotros no le dábamos importancia.
guarani000503.wav	oñembyatypaite peteĩ pyhare	Oñembyatypaite peteĩ pyhare.	Se reunieron todos una noche.
guarani000504.wav	teroja tekome'ẽva puru	"Teroja tekome'ẽva puru."	Uso del pronombre.
guarani000505.wav	ha hendiverã ka'ay he'ẽ	"Ha hendiverã ka'ay he'ẽ"	Y acompañado con mate dulce.
guarani000506.wav	ani hagua ho'a hikuái karai alfonso ha itajýra ári	"Ani hag̃ua ho'a hikuái karai Alfonso ha itajýra ári"	Para que no se caigan sobre el señor ALfanso y su hija.
guarani000507.wav	mba'éichapa ova	"Mba'éichapa ova."	¿Cómo se transmite?
guarani000508.wav	che rajymi hasykatuetéva ndive	Che rajymi hasykatuetéva ndive.	Con mi hija muy enferma.
guarani000509.wav	oguerokirĩnte hikuái	Oguerokirĩnte hikuái.	Se mantenían callados.
guarani000510.wav	avati mandi'o yva ha ambuéva	"avati, mandi'o, yva ha ambuéva"	maíz, mandioca, frutas y otros
guarani000511.wav	iglesia parroquial yvyja u	Iglesia Parroquial Yvyjaʼu.	Iglesia Parroquial de Yvyja'u
guarani000512.wav	hendy'imi tata ha upéi katu ogue	"Hendy'imi tata ha upéi katu ogue."	El fuego ardió un poco pero luego se apagó.
guarani000513.wav	iñe'ẽporãhaipyre rekotee	"Iñe'ẽporãhaipyre rekotee."	El carácter de su poesía.
guarani000514.wav	umi ára guive vaicháku mokõive oñoha'ãva hikuái	"Umi ára guive vaicháku mokõive oñoha'ãva hikuái"	Al parecer, desde aquellos días han estado compitiendo los dos
guarani000515.wav	ogaygua osẽ ikorapymíme oñandu hagua kuarahy pytu	Ogaygua osẽ ikorapymíme oñandu hag̃ua kuarahy pytu	La familia sale a su patio pequeño para sentir el calor del sol.
guarani000516.wav	kuimba'e'i karape haguepáva ojoguáva karaja'ípe ndaje	"Kuimba'e'i karape, haguepáva, ojoguáva karaja'ípe ndaje."	Un muchacho bajo de estatura, lleno de pelos, que se parece a un macaco
guarani000517.wav	oĩva ka'irãime	"Oĩva ka'irãime."	Que está en prisión.
guarani000518.wav	asia ñe'ẽnguéra	"Asia ñe'ẽnguéra."	Idiomas asiáticos.
guarani000519.wav	ehasa jakay'u	"Ehasa jakay'u."	Pasa, vamos a tomar mate.
guarani000520.wav	ha ta'eporãmivoi peẽme	"Ha ta'eporãmivoi peẽme."	Y déjenme decirles.
guarani000521.wav	ko léi ojepurúta ñemoarandu ha ñemosãsorã	Ko léi ojepurúta ñemoarandu ha ñemosãsorã.	Esta ley se utilizará para la educación y la liberación.
guarani000522.wav	ndaha éi omymbajukaitereíva	Ndahaʼéi omymbajukaitereíva.	No es que caza muy bien
guarani000523.wav	ha hi'ariete ome'ẽ avei oréve pohã	"Ha hi'ariete ome'ẽ avei oréve pohã."	Y además de eso, también nos dio medicina.
guarani000524.wav	oréko oreresãi ha rovy'a amo roimehápe	"Oréko oreresãi ha rovy'a amo roimehápe."	Somos saludables y estamos felices ahí donde vivimos.
guarani000525.wav	roñomongeta ha pya'evoi roguahẽ peteĩ ñe'ẽme	"Roñomongeta ha pya'evoi rog̃uahẽ peteĩ ñe'ẽme."	Hablamos y rápidamente llegamos a un acuerdo.
guarani000526.wav	upéva ijarýipe guarã	Upéva ijarýipe g̃uarã.	Eso es para su abuela.
guarani000527.wav	peteĩva pende apytégui cheme'ẽta	"Peteĩva pende apytégui cheme'ẽta"	Uno de ustedes me traicionará
guarani000528.wav	ndarekói aha haguáicha	Ndarekói aha hag̃uáicha.	No tengo como ir
guarani000529.wav	omongaru mymbakuéra upepeguápe ka'i jaguarete ha ambuéva	"omongaru mymbakuéra upepeguápe, ka'i, jaguarete ha ambuéva."	alimenta a los animales locales, incluidos monos, jaguares y otros.
guarani000530.wav	ko'ága katu ojehecharamo ha oñemomorã	"Ko'ág̃a katu ojehecharamo ha oñemomorã."	Ahora, sin embargo, es algo novedoso y hasta se celebra
guarani000531.wav	néi mba'épiko ja'éta ndéve	"Néi, mba'épiko ja'éta ndéve."	Bueno, ¿qué te diremos?
guarani000532.wav	iporãrasa	Iporãrasa.	Fantástico.
guarani000533.wav	opa mba'e rehegua	"Opa mba'e rehegua."	Sobre todo lo demás.
guarani000534.wav	mymbakuéra rehegua	Mymbakuéra rehegua.	De los animales
guarani000535.wav	oguereko papo ary	Oguereko papo ary.	Tiene quince años
guarani000536.wav	omañasapy ami orerehe ha osẽ oho	Omañasapyʼami orerehe ha osẽ oho.	Nos andaba  mirando y luego se marchó
guarani000537.wav	hykuepángo oĩmíva	Hykuepángo oĩmíva	Todo lo que hay está mojado
guarani000538.wav	pemboy'u pembohasa hagua akãrasy	"pemboy'u pembohasa hag̃ua akãrasy"	Beban agua para que les haga pasar el dolor de cabeza
guarani000539.wav	amomba'eguasúniko ikatúre ahasa peteĩ arave ahayhúva ndive	"amomba'eguasúniko ikatúre ahasa peteĩ arave ahayhúva ndive"	Estoy agradecido de poder pasar un día mas con mis seres queridos.
guarani000540.wav	ogueraháma katu hikuái chupe peteĩ pohãnohára rógape	Ogueraháma katu hikuái chupe peteĩ pohãnohára rógape.	Rápidamente le llevaron a un hospital.
guarani000541.wav	eporohetũ mbeguemi	Eporohetũ mbeguemi	Besa suavemente.
guarani000542.wav	vaicháku noñanduivavoi kane'õ	"Vaicháku noñanduivavoi kane'õ."	Como si no sintiese el cansancio.
guarani000543.wav	ka'asapa	"Ka'asapa."	Caazapa.
guarani000544.wav	vokóike opu'ã ha sapy'aitépe ogueropojáima chupekuéra imba'ejerure	"Vokóike opu'ã ha sapy'aitépe ogueropojáima chupekuéra imba'ejerure"	Enseguida se levantó y rápidamente les acercó lo que habían pedido.
